Tesisat;T1;T2;T3;RI;RC;;;;;;;;;
23212835;"8173,629 ";"6228,401 ";"14202,489 ";"0,000 ";"0,000 ";;;;;;;;;
23900177;"596,044 ";"864,000 ";"260,951 ";"0,000 ";"0,000 ";;;;;;;;;
23604210;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23202161;"3445,556 ";"2054,609 ";"1718,931 ";"0,000 ";"0,000 ";;;;;;;;;
23237426;"8181,170 ";"7255,353 ";"6075,420 ";"0,000 ";"0,000 ";;;;;;;;;
23656405;"4095,640 ";"3075,011 ";"3768,865 ";"0,000 ";"0,000 ";;;;;;;;;
700021621;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23976219;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23605151;"4879,089 ";"1961,610 ";"1878,274 ";"0,000 ";"0,000 ";;;;;;;;;
23900570;"3862,195 ";"2267,679 ";"2565,015 ";"0,000 ";"0,000 ";;;;;;;;;
24208724;"3556,148 ";"1780,008 ";"900,885 ";"1017,638 ";"0,144 ";;;;;;;;;
23097126;"29906,753 ";"28709,924 ";"15511,566 ";"0,000 ";"0,000 ";;;;;;;;;
23611562;"7724,423 ";"4276,968 ";"2367,742 ";"0,000 ";"0,000 ";;;;;;;;;
22009369;"3455,377 ";"1963,263 ";"2142,639 ";"0,000 ";"0,000 ";;;;;;;;;
22088891;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23604297;"334,271 ";"233,729 ";"274,687 ";"0,000 ";"0,000 ";;;;;;;;;
23097180;"4110,959 ";"3022,417 ";"2888,731 ";"0,000 ";"0,000 ";;;;;;;;;
23652234;"5599,780 ";"3511,538 ";"4490,789 ";"0,000 ";"0,000 ";;;;;;;;;
23615133;"14767,617 ";"11507,971 ";"11325,412 ";"0,000 ";"0,000 ";;;;;;;;;
23209090;"68393,275 ";"11723,841 ";"11228,388 ";"0,000 ";"0,000 ";;;;;;;;;
22016515;"5548,772 ";"2248,237 ";"1429,892 ";"0,000 ";"0,000 ";;;;;;;;;
23819158;"4596,253 ";"2407,347 ";"2136,252 ";"0,000 ";"0,000 ";;;;;;;;;
23851687;"6506,747 ";"4065,808 ";"3533,468 ";"0,000 ";"0,000 ";;;;;;;;;
23842217;"2755,499 ";"1378,451 ";"1371,171 ";"0,000 ";"0,000 ";;;;;;;;;
23621812;"2878,351 ";"2218,568 ";"1873,138 ";"0,000 ";"0,000 ";;;;;;;;;
23199013;"1722,661 ";"1109,381 ";"1370,797 ";"0,000 ";"0,000 ";;;;;;;;;
700772414;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23678135;"7546,649 ";"5003,869 ";"4762,637 ";"0,000 ";"0,000 ";;;;;;;;;
23850094;"418,699 ";"304,556 ";"617,097 ";"0,000 ";"0,000 ";;;;;;;;;
700459334;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23215235;"10406,946 ";"6733,140 ";"4752,565 ";"0,000 ";"0,000 ";;;;;;;;;
23097205;"18081,252 ";"12200,967 ";"4919,296 ";"0,000 ";"0,000 ";;;;;;;;;
23851940;"6467,309 ";"4263,942 ";"3435,639 ";"0,000 ";"0,000 ";;;;;;;;;
23222119;"6546,139 ";"3862,262 ";"3579,313 ";"0,000 ";"0,000 ";;;;;;;;;
700579533;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23611344;"10197,033 ";"6817,114 ";"6311,309 ";"0,000 ";"0,000 ";;;;;;;;;
700820781;"53,594 ";"40,178 ";"114,654 ";"0,000 ";"0,000 ";;;;;;;;;
24382285;"39344,985 ";"18044,210 ";"25383,079 ";"9255,159 ";"2212,518 ";;;;;;;;;
23675983;"5345,780 ";"3130,683 ";"3324,903 ";"0,000 ";"0,000 ";;;;;;;;;
23666494;"267,609 ";"163,216 ";"178,036 ";"0,000 ";"0,000 ";;;;;;;;;
23638721;"975,500 ";"496,524 ";"472,949 ";"0,000 ";"0,000 ";;;;;;;;;
23978517;"3584,351 ";"1577,605 ";"2286,081 ";"0,000 ";"0,000 ";;;;;;;;;
